freq[Hz];db:Trc1_S21;ang:Trc1_S21;
6.600000000000000E+009;-5.196099525229868E+001;8.382101582433288E+001;
6.601000500250125E+009;-5.152734749467290E+001;8.303090653724242E+001;
6.602001000500250E+009;-5.219082117354004E+001;7.737679889183293E+001;
6.603001500750375E+009;-5.169783173431921E+001;7.580851049599868E+001;
6.604002001000501E+009;-5.194412064121323E+001;7.200419139933953E+001;
6.605002501250626E+009;-5.201473951953450E+001;6.890476278898279E+001;
6.606003001500751E+009;-5.180006716869933E+001;6.846861806334827E+001;
6.607003501750876E+009;-5.200525835166774E+001;6.722392836554910E+001;
6.608004002001000E+009;-5.222655556063909E+001;6.265036509658687E+001;
6.609004502251125E+009;-5.223540139153849E+001;6.123497876612714E+001;
6.610005002501250E+009;-5.209596737018666E+001;6.219665660124806E+001;
6.611005502751376E+009;-5.219281598332541E+001;5.729690080128579E+001;
6.612006003001501E+009;-5.218833531041300E+001;5.754115163736391E+001;
6.613006503251626E+009;-5.245018308540404E+001;5.228759593430941E+001;
6.614007003501751E+009;-5.238119814053918E+001;5.055624765570526E+001;
6.615007503751876E+009;-5.214907585451313E+001;4.762807202657935E+001;
6.616008004002001E+009;-5.215875955147863E+001;4.580771631876226E+001;
6.617008504252126E+009;-5.241280191628189E+001;4.436476168044308E+001;
6.618009004502251E+009;-5.261461755489030E+001;4.201494786535493E+001;
6.619009504752377E+009;-5.235605356597783E+001;3.969671664548904E+001;
6.620010005002502E+009;-5.257423574921408E+001;3.591392365029353E+001;
6.621010505252626E+009;-5.260120827551882E+001;3.258430940079330E+001;
6.622011005502751E+009;-5.258734460339047E+001;3.115307207613186E+001;
6.623011505752876E+009;-5.236244682312432E+001;2.834613326384964E+001;
6.624012006003001E+009;-5.277897526756936E+001;2.425892621078389E+001;
6.625012506253126E+009;-5.269429004230785E+001;2.466445761694049E+001;
6.626013006503252E+009;-5.286058638440710E+001;2.263372475811372E+001;
6.627013506753377E+009;-5.261853946663022E+001;2.184506712334596E+001;
6.628014007003502E+009;-5.296326921966615E+001;1.967585251866607E+001;
6.629014507253627E+009;-5.314750131570460E+001;1.424740998194341E+001;
6.630015007503752E+009;-5.325377226434853E+001;1.583425748946776E+001;
6.631015507753877E+009;-5.301917825423855E+001;1.251897152488730E+001;
6.632016008004002E+009;-5.304009677510999E+001;1.036410139899571E+001;
6.633016508254128E+009;-5.304666900453911E+001;8.816612863227670E+000;
6.634017008504252E+009;-5.272271409066938E+001;8.305902029013831E+000;
6.635017508754377E+009;-5.273715792773320E+001;2.788668518656547E+000;
6.636018009004502E+009;-5.297968191461477E+001;7.677164744400803E-001;
6.637018509254627E+009;-5.327013423665841E+001;5.286194805773400E-001;
6.638019009504752E+009;-5.335482375420713E+001;-1.999577995723663E+000;
6.639019509754877E+009;-5.337033203890454E+001;-3.864122972963572E+000;
6.640020010005003E+009;-5.325752300200734E+001;-5.116366690006884E+000;
6.641020510255128E+009;-5.337871125344370E+001;-7.971663148694823E+000;
6.642021010505253E+009;-5.334099332100055E+001;-8.621387107019796E+000;
6.643021510755378E+009;-5.362061033741652E+001;-9.554375910883053E+000;
6.644022011005503E+009;-5.301275021481337E+001;-1.179169034051759E+001;
6.645022511255628E+009;-5.382900948337480E+001;-1.442195981036213E+001;
6.646023011505753E+009;-5.346137355252230E+001;-1.335127713333284E+001;
6.647023511755878E+009;-5.390735852127013E+001;-1.784641792499535E+001;
6.648024012006003E+009;-5.380919699749131E+001;-2.085622943432670E+001;
6.649024512256128E+009;-5.350298552739650E+001;-2.155281177124855E+001;
6.650025012506253E+009;-5.390877798897952E+001;-2.428309228653184E+001;
6.651025512756378E+009;-5.364106814780050E+001;-2.529175475000804E+001;
6.652026013006503E+009;-5.338584360397450E+001;-2.647369511097475E+001;
6.653026513256628E+009;-5.360857014715963E+001;-3.087722843545236E+001;
6.654027013506753E+009;-5.371338875587700E+001;-2.973517877090506E+001;
6.655027513756879E+009;-5.363576210620892E+001;-3.096763859126637E+001;
