freq[Hz];re:Trc1_S11;im:Trc1_S11;
5.232116058029015E+009;-6.334265470504761E-001;-5.522037723491410E-001;
5.236118059029514E+009;-7.120640873908997E-001;-4.529276875982162E-001;
5.240120060030015E+009;-7.742857933044434E-001;-3.363352014513213E-001;
5.244122061030516E+009;-8.152217864990234E-001;-2.137470080382178E-001;
5.248124062031015E+009;-8.373990058898926E-001;-7.845056681289647E-002;
5.252126063031516E+009;-8.367588520050049E-001;5.402194457836955E-002;
5.256128064032016E+009;-8.155604004859924E-001;1.868130110508610E-001;
5.260130065032517E+009;-7.711603045463562E-001;3.179683535842146E-001;
5.264132066033016E+009;-6.991342306137085E-001;4.385314193840529E-001;
5.268134067033517E+009;-6.134876608848572E-001;5.473542607782960E-001;
5.272136068034017E+009;-5.049977302551270E-001;6.351891383178460E-001;
5.276138069034517E+009;-3.906045556068420E-001;7.059500480614076E-001;
5.280140070035017E+009;-2.617279589176178E-001;7.575409409902458E-001;
5.284142071035518E+009;-1.266241818666458E-001;7.836739746261697E-001;
5.288144072036018E+009;6.979946047067642E-003;7.875765084662383E-001;
5.292146073036518E+009;1.386000066995621E-001;7.710764815659078E-001;
5.296148074037019E+009;2.681433856487274E-001;7.345584702694150E-001;
5.300150075037519E+009;3.842593133449554E-001;6.801621581044257E-001;
5.304152076038019E+009;4.925832450389862E-001;6.013849182146587E-001;
5.308154077038519E+009;5.863522887229919E-001;5.196368460465246E-001;
5.312156078039020E+009;6.663628816604614E-001;4.224440748117271E-001;
5.316158079039520E+009;7.317563891410828E-001;3.127919993977207E-001;
5.320160080040020E+009;7.769356966018677E-001;2.011275584098751E-001;
5.324162081040521E+009;8.048108220100403E-001;7.856101960447241E-002;
5.328164082041020E+009;8.203788399696350E-001;-4.212253149141434E-002;
5.332166083041521E+009;8.136677742004395E-001;-1.643456924371431E-001;
5.336168084042021E+009;7.855956554412842E-001;-2.814755899785886E-001;
5.340170085042522E+009;7.453589439392090E-001;-4.029353193603438E-001;
5.344172086043021E+009;6.908027529716492E-001;-5.067213564459656E-001;
5.348174087043522E+009;6.166120767593384E-001;-6.058146010641635E-001;
5.352176088044022E+009;5.302726626396179E-001;-6.912777827298893E-001;
5.356178089044522E+009;4.294279217720032E-001;-7.644865887406421E-001;
5.360180090045023E+009;3.204273879528046E-001;-8.211692827569762E-001;
5.364182091045523E+009;2.026734054088593E-001;-8.596821536547271E-001;
5.368184092046023E+009;8.055389672517777E-002;-8.792675585381374E-001;
5.372186093046523E+009;-4.648483917117119E-002;-8.787132533188800E-001;
5.376188094047024E+009;-1.731256246566773E-001;-8.612249237919529E-001;
5.380190095047524E+009;-2.958304584026337E-001;-8.223379658429438E-001;
5.384192096048024E+009;-4.092614054679871E-001;-7.687428543111711E-001;
5.388194097048524E+009;-5.127408504486084E-001;-6.914667487721965E-001;
5.392196098049025E+009;-6.078423857688904E-001;-6.017485981634574E-001;
5.396198099049524E+009;-6.841627955436707E-001;-4.919136235614211E-001;
5.400200100050025E+009;-7.463569641113281E-001;-3.801689486725865E-001;
5.404202101050526E+009;-7.842624187469482E-001;-2.506134666532049E-001;
5.408204102051025E+009;-8.104016780853272E-001;-1.263310104476222E-001;
5.412206103051526E+009;-8.060784339904785E-001;1.106618967931389E-002;
5.416208104052026E+009;-7.874845266342163E-001;1.440199230252133E-001;
5.420210105052527E+009;-7.459456324577332E-001;2.741061864597516E-001;
5.424212106053026E+009;-6.862864494323731E-001;3.910968607916089E-001;
5.428214107053527E+009;-6.072025895118713E-001;5.004152937645872E-001;
5.432216108054027E+009;-5.120927095413208E-001;5.977232525552200E-001;
5.436218109054527E+009;-4.017834365367889E-001;6.786558059158838E-001;
5.440220110055028E+009;-2.846277058124542E-001;7.394189515063266E-001;
5.444222111055528E+009;-1.528604775667191E-001;7.783802299796678E-001;
5.448224112056028E+009;-1.755828410387039E-002;7.967834060786408E-001;
5.452226113056528E+009;1.164666488766670E-001;7.923715484465232E-001;
5.456228114057029E+009;2.491971105337143E-001;7.676101951351591E-001;
5.460230115057529E+009;3.753453791141510E-001;7.190405772598782E-001;
5.464232116058029E+009;4.910802841186523E-001;6.527776269017177E-001;
5.468234117058529E+009;5.908230543136597E-001;5.686437256219267E-001;
5.472236118059030E+009;6.749270558357239E-001;4.698745241595350E-001;
5.476238119059530E+009;7.443395256996155E-001;3.591711929954675E-001;
5.480240120060030E+009;7.920020222663879E-001;2.425549971333408E-001;
5.484242121060531E+009;8.223251104354858E-001;1.179416968879564E-001;
5.488244122061030E+009;8.316445946693420E-001;-2.103617099518451E-003;
5.492246123061531E+009;8.256895542144775E-001;-1.268810026347136E-001;
5.496248124062031E+009;7.978603839874268E-001;-2.430836640398857E-001;
5.500250125062532E+009;7.555525302886963E-001;-3.611074313561905E-001;
5.504252126063031E+009;6.923790574073792E-001;-4.599352016072507E-001;
5.508254127063532E+009;6.248714327812195E-001;-5.523390811181065E-001;
5.512256128064032E+009;5.376930832862854E-001;-6.375809769321108E-001;
5.516258129064532E+009;4.472292363643646E-001;-7.084351144807036E-001;
5.520260130065033E+009;3.430383205413818E-001;-7.654133905972940E-001;
5.524262131065533E+009;2.369148135185242E-001;-8.077344195094964E-001;
5.528264132066033E+009;1.165762543678284E-001;-8.379811068940836E-001;
5.532266133066533E+009;-1.806629239581525E-003;-8.473096839837775E-001;
5.536268134067034E+009;-1.207710355520248E-001;-8.420784555472555E-001;
5.540270135067534E+009;-2.401858419179916E-001;-8.167738777561284E-001;
5.544272136068034E+009;-3.563990592956543E-001;-7.747120607277446E-001;
5.548274137068534E+009;-4.655067920684815E-001;-7.186392584298370E-001;
5.552276138069035E+009;-5.668890476226807E-001;-6.433399651773775E-001;
5.556278139069534E+009;-6.589779257774353E-001;-5.513799384473610E-001;
