freq[Hz];re:Trc1_S22;im:Trc1_S22;
5.000000000000000E+009;8.389860987663269E-001;1.777856501375398E-001;
5.004002001000501E+009;8.641293644905090E-001;6.200247009574939E-002;
5.008004002001000E+009;8.629655241966248E-001;-4.086917319126600E-002;
5.012006003001501E+009;8.533223271369934E-001;-1.501600542677813E-001;
5.016008004002001E+009;8.307616114616394E-001;-2.632937045746526E-001;
5.020010005002502E+009;7.738233208656311E-001;-3.796626061565748E-001;
5.024012006003001E+009;7.161822915077210E-001;-5.004754182747797E-001;
5.028014007003502E+009;6.277695894241333E-001;-5.917638025515390E-001;
5.032016008004002E+009;5.197363495826721E-001;-6.916600323941043E-001;
5.036018009004502E+009;3.978888988494873E-001;-7.621769603703247E-001;
5.040020010005003E+009;2.586187720298767E-001;-8.187931837614699E-001;
5.044022011005503E+009;9.783267229795456E-002;-8.498529699288948E-001;
5.048024012006003E+009;-6.152541190385819E-002;-8.459185177679507E-001;
5.052026013006503E+009;-2.294252067804337E-001;-8.092018089546037E-001;
5.056028014007004E+009;-3.863180279731751E-001;-7.425951263760926E-001;
5.060030015007504E+009;-5.271779298782349E-001;-6.404909080951883E-001;
5.064032016008004E+009;-6.410580873489380E-001;-5.155129660792357E-001;
5.068034017008504E+009;-7.269349694252014E-001;-3.676248377331376E-001;
5.072036018009005E+009;-7.851961851119995E-001;-2.129309694763043E-001;
5.076038019009504E+009;-8.051387071609497E-001;-4.930710409104752E-002;
5.080040020010005E+009;-7.956112623214722E-001;1.095730553818388E-001;
5.084042021010506E+009;-7.582162022590637E-001;2.539642449760636E-001;
5.088044022011005E+009;-7.074530124664307E-001;3.912631082194422E-001;
5.092046023011506E+009;-6.255461573600769E-001;5.119334303291581E-001;
5.096048024012006E+009;-5.300571918487549E-001;6.172309078454514E-001;
5.100050025012507E+009;-4.267251789569855E-001;6.937569028385715E-001;
5.104052026013006E+009;-3.248862326145172E-001;7.633050143099774E-001;
5.108054027013507E+009;-2.060873657464981E-001;7.995183156114316E-001;
5.112056028014007E+009;-8.609322458505631E-002;8.250221627604759E-001;
5.116058029014507E+009;2.038374543190002E-002;8.441722374025226E-001;
5.120060030015008E+009;1.289955377578735E-001;8.406412929229659E-001;
5.124062031015508E+009;2.336728721857071E-001;8.253278062207021E-001;
5.128064032016008E+009;3.294577896595001E-001;7.954328886041223E-001;
5.132066033016508E+009;4.298073947429657E-001;7.576500915878605E-001;
5.136068034017009E+009;5.146009922027588E-001;7.021238546560279E-001;
5.140070035017509E+009;5.956668257713318E-001;6.388637415498726E-001;
5.144072036018009E+009;6.720321178436279E-001;5.684271861463360E-001;
5.148074037018509E+009;7.325783371925354E-001;4.919121987188955E-001;
5.152076038019010E+009;7.829307317733765E-001;4.014508258104296E-001;
5.156078039019509E+009;8.317233920097351E-001;3.036338902744261E-001;
5.160080040020010E+009;8.599179387092590E-001;2.068565125030280E-001;
5.164082041020511E+009;8.842385411262512E-001;1.058861859001738E-001;
5.168084042021010E+009;8.858208656311035E-001;-6.856515653270501E-003;
5.172086043021511E+009;8.750268816947937E-001;-1.188759105698052E-001;
5.176088044022011E+009;8.502200245857239E-001;-2.288947016300230E-001;
5.180090045022512E+009;8.033532500267029E-001;-3.389808752418843E-001;
5.184092046023011E+009;7.532055377960205E-001;-4.498646091896248E-001;
5.188094047023512E+009;6.644466519355774E-001;-5.505655794891244E-001;
5.192096048024012E+009;5.687031745910645E-001;-6.414007047331194E-001;
5.196098049024512E+009;4.540736079216003E-001;-7.152388104759963E-001;
5.200100050025013E+009;3.214656114578247E-001;-7.810866007309589E-001;
5.204102051025513E+009;1.748149245977402E-001;-8.160379243263889E-001;
5.208104052026013E+009;1.870500296354294E-002;-8.222649222252004E-001;
5.212106053026513E+009;-1.347252130508423E-001;-8.008969221040034E-001;
5.216108054027014E+009;-2.923183143138886E-001;-7.555799092087923E-001;
5.220110055027514E+009;-4.385696351528168E-001;-6.730017693206597E-001;
5.224112056028014E+009;-5.624123811721802E-001;-5.553746211013488E-001;
5.228114057028514E+009;-6.659613251686096E-001;-4.306401131618237E-001;
5.232116058029015E+009;-7.418440580368042E-001;-2.849456229531471E-001;
5.236118059029514E+009;-7.867094874382019E-001;-1.249035774463226E-001;
5.240120060030015E+009;-8.053319454193115E-001;3.448373257334531E-002;
5.244122061030516E+009;-7.841650843620300E-001;1.968653169019316E-001;
5.248124062031015E+009;-7.409819364547730E-001;3.429180288427781E-001;
5.252126063031516E+009;-6.631303429603577E-001;4.822752913549759E-001;
5.256128064032016E+009;-5.794485807418823E-001;5.962309602181134E-001;
5.260130065032517E+009;-4.729119837284088E-001;6.870164072569758E-001;
5.264132066033016E+009;-3.585425019264221E-001;7.597844677086513E-001;
5.268134067033517E+009;-2.409195303916931E-001;8.090254854770215E-001;
5.272136068034017E+009;-1.183398067951202E-001;8.421265171109573E-001;
5.276138069034517E+009;1.732455100864172E-003;8.585333109071026E-001;
5.280140070035017E+009;1.204223558306694E-001;8.510685030827802E-001;
5.284142071035518E+009;2.290038764476776E-001;8.351951221179118E-001;
5.288144072036018E+009;3.370180726051331E-001;7.956705994535439E-001;
5.292146073036518E+009;4.301927983760834E-001;7.482894495389214E-001;
5.296148074037019E+009;5.203993320465088E-001;6.942175070044255E-001;
5.300150075037519E+009;5.992709398269653E-001;6.296352647343345E-001;
5.304152076038019E+009;6.652168631553650E-001;5.552581044522904E-001;
5.308154077038519E+009;7.228730320930481E-001;4.726289778650948E-001;
5.312156078039020E+009;7.718133330345154E-001;3.864197517598315E-001;
5.316158079039520E+009;8.167992830276489E-001;2.935499493143565E-001;
5.320160080040020E+009;8.343582749366760E-001;1.972601678957996E-001;
5.324162081040521E+009;8.527554869651794E-001;9.857940796313336E-002;
5.328164082041020E+009;8.567184209823608E-001;-2.696880507773433E-003;
5.332166083041521E+009;8.517338037490845E-001;-9.862163387585191E-002;
5.336168084042021E+009;8.248988389968872E-001;-2.157275328038523E-001;
5.340170085042522E+009;7.907421588897705E-001;-3.191016855679206E-001;
5.344172086043021E+009;7.461000680923462E-001;-4.190244496566804E-001;
5.348174087043522E+009;6.764256358146668E-001;-5.072484993631508E-001;
5.352176088044022E+009;5.925241112709045E-001;-5.985324708131761E-001;
5.356178089044522E+009;4.939910471439362E-001;-6.817500829449493E-001;
5.360180090045023E+009;3.846281468868256E-001;-7.478272015987169E-001;
5.364182091045523E+009;2.544684410095215E-001;-8.020389512523902E-001;
5.368184092046023E+009;1.112049520015717E-001;-8.322868919439270E-001;
5.372186093046523E+009;-3.676807135343552E-002;-8.386523343918140E-001;
5.376188094047024E+009;-1.936736851930618E-001;-8.107001293256407E-001;
5.380190095047524E+009;-3.472879528999329E-001;-7.533841010544750E-001;
5.384192096048024E+009;-4.904666244983673E-001;-6.681768221787687E-001;
5.388194097048524E+009;-6.149581670761108E-001;-5.522419096144939E-001;
5.392196098049025E+009;-7.137052416801453E-001;-4.053580073212640E-001;
5.396198099049524E+009;-7.837806940078735E-001;-2.492628847990076E-001;
5.400200100050025E+009;-8.164786100387573E-001;-7.752180778584980E-002;
5.404202101050526E+009;-8.088231086730957E-001;9.371386438444668E-002;
5.408204102051025E+009;-7.699555754661560E-001;2.571630082161370E-001;
5.412206103051526E+009;-7.112734913825989E-001;4.003862157714663E-001;
5.416208104052026E+009;-6.219650506973267E-001;5.263797733034519E-001;
5.420210105052527E+009;-5.149027109146118E-001;6.300096403428300E-001;
5.424212106053026E+009;-3.992410004138947E-001;7.113837747296259E-001;
5.428214107053527E+009;-2.711689770221710E-001;7.713517314453212E-001;
5.432216108054027E+009;-1.454446911811829E-001;8.054697243599209E-001;
5.436218109054527E+009;-1.652521640062332E-002;8.201556551228924E-001;
5.440220110055028E+009;9.361265599727631E-002;8.172444638363308E-001;
5.444222111055528E+009;2.081030011177063E-001;7.936313322006205E-001;
5.448224112056028E+009;3.137920498847961E-001;7.662540501443336E-001;
5.452226113056528E+009;4.133581221103668E-001;7.240880642761275E-001;
5.456228114057029E+009;4.984984397888184E-001;6.780274507249562E-001;
5.460230115057529E+009;5.817766189575195E-001;6.076254059201813E-001;
5.464232116058029E+009;6.488735675811768E-001;5.391464968783389E-001;
5.468234117058529E+009;7.111200094223023E-001;4.668362087737646E-001;
5.472236118059030E+009;7.667782902717590E-001;3.776036847650485E-001;
5.476238119059530E+009;8.098099827766419E-001;2.939508196592463E-001;
5.480240120060030E+009;8.383653163909912E-001;2.027972705178300E-001;
5.484242121060531E+009;8.623883128166199E-001;1.083841872362329E-001;
5.488244122061030E+009;8.723241686820984E-001;6.018930234811468E-003;
5.492246123061531E+009;8.700659871101379E-001;-9.554002552281901E-002;
5.496248124062031E+009;8.565208911895752E-001;-1.966187730636861E-001;
5.500250125062532E+009;8.235629796981812E-001;-3.043641867442791E-001;
5.504252126063031E+009;7.839287519454956E-001;-4.079580896111730E-001;
5.508254127063532E+009;7.200949192047119E-001;-5.068408433103258E-001;
5.512256128064032E+009;6.474926471710205E-001;-5.945568548731555E-001;
5.516258129064532E+009;5.526494979858398E-001;-6.781513795756012E-001;
5.520260130065033E+009;4.433423578739166E-001;-7.493236926880901E-001;
5.524262131065533E+009;3.228019475936890E-001;-8.079538499248442E-001;
5.528264132066033E+009;1.875498145818710E-001;-8.390553253219015E-001;
