freq[Hz];re:Trc1_S11;im:Trc1_S11;
6.600000000000000E+009;5.817869901657105E-001;5.098791259181810E-001;
6.601000500250125E+009;6.065673232078552E-001;4.821026804270360E-001;
6.602001000500250E+009;6.257576346397400E-001;4.575110112890587E-001;
6.603001500750375E+009;6.491290926933289E-001;4.319976647206774E-001;
6.604002001000501E+009;6.669787764549255E-001;4.078868319648428E-001;
6.605002501250626E+009;6.844266653060913E-001;3.741555124359892E-001;
6.606003001500751E+009;7.020877599716187E-001;3.458811283014557E-001;
6.607003501750876E+009;7.143015861511231E-001;3.142345013142583E-001;
6.608004002001000E+009;7.317067384719849E-001;2.885699064434842E-001;
6.609004502251125E+009;7.440441846847534E-001;2.541900497205281E-001;
6.610005002501250E+009;7.551259398460388E-001;2.219149716414120E-001;
6.611005502751376E+009;7.633913159370422E-001;1.913119831399150E-001;
6.612006003001501E+009;7.724167704582214E-001;1.590814250633300E-001;
6.613006503251626E+009;7.802456021308899E-001;1.303953391863361E-001;
6.614007003501751E+009;7.901524305343628E-001;9.776968297399341E-002;
6.615007503751876E+009;7.936439514160156E-001;6.691374083737355E-002;
6.616008004002001E+009;7.968465089797974E-001;3.716050982622484E-002;
6.617008504252126E+009;8.003033995628357E-001;1.915785704957665E-003;
6.618009004502251E+009;7.993159890174866E-001;-2.863149539525380E-002;
6.619009504752377E+009;7.989689707756043E-001;-5.700014161672848E-002;
6.620010005002502E+009;7.979373931884766E-001;-9.065219660532974E-002;
6.621010505252626E+009;7.957655787467957E-001;-1.214664160730833E-001;
6.622011005502751E+009;7.922378182411194E-001;-1.514346114961317E-001;
6.623011505752876E+009;7.877573966979981E-001;-1.812170882315426E-001;
6.624012006003001E+009;7.818226814270020E-001;-2.115617893609387E-001;
6.625012506253126E+009;7.753782272338867E-001;-2.409801508505586E-001;
6.626013006503252E+009;7.650903463363648E-001;-2.728381592190124E-001;
6.627013506753377E+009;7.575224637985230E-001;-3.017884144094852E-001;
6.628014007003502E+009;7.476384639739990E-001;-3.300603928313658E-001;
6.629014507253627E+009;7.362315654754639E-001;-3.563991841015276E-001;
6.630015007503752E+009;7.244910597801209E-001;-3.835191552708130E-001;
6.631015507753877E+009;7.091690301895142E-001;-4.122353381451238E-001;
6.632016008004002E+009;6.951145529747009E-001;-4.377325098330173E-001;
6.633016508254128E+009;6.825714111328125E-001;-4.644046441170959E-001;
6.634017008504252E+009;6.649511456489563E-001;-4.880100631006942E-001;
6.635017508754377E+009;6.514198184013367E-001;-5.110300572301108E-001;
6.636018009004502E+009;6.312436461448669E-001;-5.344758905126431E-001;
6.637018509254627E+009;6.120171546936035E-001;-5.576149634134089E-001;
6.638019009504752E+009;5.945397615432739E-001;-5.796460955202559E-001;
6.639019509754877E+009;5.739175081253052E-001;-6.009258517741609E-001;
6.640020010005003E+009;5.523320436477661E-001;-6.210504500262788E-001;
6.641020510255128E+009;5.298661589622498E-001;-6.415675524813486E-001;
6.642021010505253E+009;5.097293853759766E-001;-6.609412983115005E-001;
6.643021510755378E+009;4.882459342479706E-001;-6.763118970855278E-001;
6.644022011005503E+009;4.641133248806000E-001;-6.955726009694137E-001;
6.645022511255628E+009;4.408713281154633E-001;-7.110782575851072E-001;
6.646023011505753E+009;4.167745113372803E-001;-7.277012369485177E-001;
6.647023511755878E+009;3.913316428661346E-001;-7.419891075064358E-001;
6.648024012006003E+009;3.668522536754608E-001;-7.579928620381993E-001;
6.649024512256128E+009;3.411797881126404E-001;-7.683757442900717E-001;
6.650025012506253E+009;3.135187029838562E-001;-7.813522414184050E-001;
6.651025512756378E+009;2.880049347877502E-001;-7.925207537277493E-001;
6.652026013006503E+009;2.619336545467377E-001;-8.017398358073740E-001;
6.653026513256628E+009;2.346115261316299E-001;-8.094475263633002E-001;
6.654027013506753E+009;2.078492790460587E-001;-8.185690080041503E-001;
6.655027513756879E+009;1.784885823726654E-001;-8.237239879433206E-001;
6.656028014007004E+009;1.519028246402741E-001;-8.312938783861612E-001;
6.657028514257129E+009;1.234291344881058E-001;-8.375665571523157E-001;
6.658029014507254E+009;9.532277286052704E-002;-8.395291317715583E-001;
6.659029514757379E+009;6.645950675010681E-002;-8.439514939425733E-001;
6.660030015007504E+009;3.812845051288605E-002;-8.453665967430091E-001;
6.661030515257628E+009;9.433262050151825E-003;-8.473151515435419E-001;
6.662031015507754E+009;-1.976280659437180E-002;-8.479669334202730E-001;
6.663031515757879E+009;-4.890883341431618E-002;-8.476146763422612E-001;
6.664032016008004E+009;-7.904674857854843E-002;-8.446252777795215E-001;
6.665032516258129E+009;-1.090551987290382E-001;-8.436832424594236E-001;
6.666033016508254E+009;-1.339986324310303E-001;-8.395741022633778E-001;
6.667033516758379E+009;-1.631619334220886E-001;-8.349507642380727E-001;
6.668034017008504E+009;-1.918476372957230E-001;-8.299886015512159E-001;
6.669034517258629E+009;-2.206394523382187E-001;-8.211482721109714E-001;
6.670035017508755E+009;-2.476786971092224E-001;-8.137904364274361E-001;
6.671035517758880E+009;-2.760659456253052E-001;-8.060674697199753E-001;
6.672036018009005E+009;-3.037349879741669E-001;-7.954588831771619E-001;
6.673036518259130E+009;-3.324755132198334E-001;-7.829647457605429E-001;
6.674037018509255E+009;-3.575944900512695E-001;-7.723953534299409E-001;
6.675037518759379E+009;-3.862893581390381E-001;-7.614714752439067E-001;
6.676038019009504E+009;-4.104573428630829E-001;-7.467832246602875E-001;
6.677038519259630E+009;-4.363489449024200E-001;-7.304644845184055E-001;
6.678039019509755E+009;-4.619581103324890E-001;-7.141271038462150E-001;
6.679039519759880E+009;-4.879283905029297E-001;-6.995364476474292E-001;
6.680040020010005E+009;-5.122945904731751E-001;-6.819918327278957E-001;
6.681040520260130E+009;-5.342476367950440E-001;-6.606775867350079E-001;
6.682041020510255E+009;-5.595837831497192E-001;-6.413116397087079E-001;
6.683041520760380E+009;-5.787737965583801E-001;-6.210910241304538E-001;
6.684042021010506E+009;-6.015200018882752E-001;-6.005206503507676E-001;
6.685042521260631E+009;-6.215419173240662E-001;-5.773186517451532E-001;
