freq[Hz];db:Trc1_S11;ang:Trc1_S11;
5.000000000000000E+009;-1.862952225886406E+000;7.737171147316155E+000;
5.004002001000501E+009;-1.626676580212648E+000;-1.341811030401822E+000;
5.008004002001000E+009;-1.617874432209647E+000;-9.631526419798050E+000;
5.012006003001501E+009;-1.567549533839793E+000;-1.774485687853795E+001;
5.016008004002001E+009;-1.463347868988638E+000;-2.627861384624716E+001;
5.020010005002502E+009;-1.382822822210674E+000;-3.412747132886047E+001;
5.024012006003001E+009;-1.300915952603178E+000;-4.203772125852046E+001;
5.028014007003502E+009;-1.228648915750053E+000;-5.008035331195723E+001;
5.032016008004002E+009;-1.131166107488689E+000;-5.825952214043161E+001;
5.036018009004502E+009;-1.075248154929676E+000;-6.626105082666112E+001;
5.040020010005003E+009;-1.101473977685272E+000;-7.434215931602635E+001;
5.044022011005503E+009;-1.076700475005189E+000;-8.222856175175502E+001;
5.048024012006003E+009;-1.072838459741780E+000;-9.040596895803446E+001;
5.052026013006503E+009;-1.079696562696202E+000;-9.862191916271398E+001;
5.056028014007004E+009;-1.113569079405206E+000;-1.071713087484743E+002;
5.060030015007504E+009;-1.165771486441027E+000;-1.158615448566020E+002;
5.064032016008004E+009;-1.263732383710547E+000;-1.241569828933164E+002;
5.068034017008504E+009;-1.307067266195739E+000;-1.330683248651222E+002;
5.072036018009005E+009;-1.400382758403379E+000;-1.419126638508544E+002;
5.076038019009504E+009;-1.545699277504069E+000;-1.508679667698926E+002;
5.080040020010005E+009;-1.645589309666660E+000;-1.600323518849969E+002;
5.084042021010506E+009;-1.728756173347399E+000;-1.695605327468469E+002;
5.088044022011005E+009;-1.809341174322897E+000;-1.789834059777037E+002;
5.092046023011506E+009;-1.858580512116299E+000;1.714065098079985E+002;
5.096048024012006E+009;-1.996263631418306E+000;1.617580105876444E+002;
5.100050025012507E+009;-2.042768795355002E+000;1.515103263144940E+002;
5.104052026013006E+009;-2.078282594231526E+000;1.419168430687928E+002;
5.108054027013507E+009;-2.119298143589238E+000;1.318324339116965E+002;
5.112056028014007E+009;-2.126642953946081E+000;1.221922196267227E+002;
5.116058029014507E+009;-2.084853430740661E+000;1.124892010190873E+002;
5.120060030015008E+009;-2.079327224054995E+000;1.025235920367308E+002;
5.124062031015508E+009;-1.980633063002263E+000;9.297538796046521E+001;
5.128064032016008E+009;-1.972063148278445E+000;8.344857175003192E+001;
5.132066033016508E+009;-1.885806520209968E+000;7.418912410498787E+001;
5.136068034017009E+009;-1.778176539346097E+000;6.488957660707061E+001;
5.140070035017509E+009;-1.710998191795574E+000;5.560159075439672E+001;
5.144072036018009E+009;-1.646853705707963E+000;4.671854585824006E+001;
5.148074037018509E+009;-1.570057823661990E+000;3.761146966286893E+001;
5.152076038019010E+009;-1.548750526397686E+000;2.887886930608396E+001;
5.156078039019509E+009;-1.489209622802665E+000;2.013785225914829E+001;
5.160080040020010E+009;-1.485172000401335E+000;1.147313271181151E+001;
5.164082041020511E+009;-1.422426021816809E+000;2.851852921043987E+000;
5.168084042021010E+009;-1.448557530445467E+000;-5.649592012082934E+000;
5.172086043021511E+009;-1.390982869307477E+000;-1.394874889793920E+001;
5.176088044022011E+009;-1.428355767611624E+000;-2.227398905806030E+001;
5.180090045022512E+009;-1.427586254190825E+000;-3.068385058602569E+001;
5.184092046023011E+009;-1.445652596369127E+000;-3.900826359960549E+001;
5.188094047023512E+009;-1.463163605987439E+000;-4.730361756148921E+001;
5.192096048024012E+009;-1.450208905147006E+000;-5.533434323692648E+001;
5.196098049024512E+009;-1.530803448873405E+000;-6.369781954825115E+001;
5.200100050025013E+009;-1.533924006094244E+000;-7.178947801012481E+001;
5.204102051025513E+009;-1.519749377070807E+000;-7.999687927846547E+001;
5.208104052026013E+009;-1.518326190047923E+000;-8.825203350760593E+001;
5.212106053026513E+009;-1.514634409962376E+000;-9.678323925232026E+001;
5.216108054027014E+009;-1.500836447011315E+000;-1.051867636508964E+002;
5.220110055027514E+009;-1.511499168272138E+000;-1.132350658058174E+002;
5.224112056028014E+009;-1.530533600398508E+000;-1.218158886443379E+002;
5.228114057028514E+009;-1.488605583872197E+000;-1.301489266391260E+002;
5.232116058029015E+009;-1.469283307155675E+000;-1.388838228330651E+002;
5.236118059029514E+009;-1.467620821469251E+000;-1.477086553833954E+002;
5.240120060030015E+009;-1.475013537962121E+000;-1.565665767375756E+002;
5.244122061030516E+009;-1.471999158254981E+000;-1.655380049611206E+002;
5.248124062031015E+009;-1.484642833755351E+000;-1.744848447217763E+002;
5.252126063031516E+009;-1.531240807038822E+000;1.763607962730191E+002;
5.256128064032016E+009;-1.564984640128184E+000;1.672035118429187E+002;
5.260130065032517E+009;-1.614943540204987E+000;1.576789117039484E+002;
5.264132066033016E+009;-1.634409258920278E+000;1.480529238947737E+002;
5.268134067033517E+009;-1.719260181107772E+000;1.381720889011600E+002;
5.272136068034017E+009;-1.782781151116476E+000;1.285254951032317E+002;
5.276138069034517E+009;-1.871086185120388E+000;1.188733023054016E+002;
5.280140070035017E+009;-1.929997341722463E+000;1.090206824028009E+002;
5.284142071035518E+009;-2.028827339270100E+000;9.900259498066941E+001;
5.288144072036018E+009;-2.059914712902684E+000;8.950723940572046E+001;
5.292146073036518E+009;-2.106391709708119E+000;7.984658708450792E+001;
5.296148074037019E+009;-2.136983530711029E+000;6.994789748052838E+001;
5.300150075037519E+009;-2.161750930338805E+000;6.037129001863599E+001;
5.304152076038019E+009;-2.127298807795738E+000;5.089091984272285E+001;
5.308154077038519E+009;-2.121716213623756E+000;4.147555359796571E+001;
5.312156078039020E+009;-2.043744701744161E+000;3.221283190101077E+001;
5.316158079039520E+009;-1.972844954003941E+000;2.340630756808701E+001;
5.320160080040020E+009;-1.926896892774345E+000;1.435250207644877E+001;
5.324162081040521E+009;-1.830624021883480E+000;5.749597457500794E+000;
5.328164082041020E+009;-1.731452297159381E+000;-2.908371508297570E+000;
5.332166083041521E+009;-1.636907441783263E+000;-1.133573492517363E+001;
5.336168084042021E+009;-1.548720509317565E+000;-1.961548214050352E+001;
5.340170085042522E+009;-1.464260089964789E+000;-2.798479912554540E+001;
5.344172086043021E+009;-1.368036042878116E+000;-3.638804014850041E+001;
5.348174087043522E+009;-1.280221715652091E+000;-4.448617461200625E+001;
5.352176088044022E+009;-1.219698681987511E+000;-5.252298385129770E+001;
5.356178089044522E+009;-1.152457609090156E+000;-6.075847543181247E+001;
5.360180090045023E+009;-1.101913113644403E+000;-6.859867632111958E+001;
5.364182091045523E+009;-1.084495735145570E+000;-7.695610931244760E+001;
5.368184092046023E+009;-1.076387781180491E+000;-8.482676461186654E+001;
5.372186093046523E+009;-1.092449555876403E+000;-9.306008776556482E+001;
5.376188094047024E+009;-1.109842546353317E+000;-1.011221565991661E+002;
5.380190095047524E+009;-1.185713996161252E+000;-1.097465627641414E+002;
5.384192096048024E+009;-1.226615817868411E+000;-1.180530740858504E+002;
5.388194097048524E+009;-1.340556857227941E+000;-1.265354112961067E+002;
5.392196098049025E+009;-1.390369977054365E+000;-1.352540996897187E+002;
5.396198099049524E+009;-1.463754131337063E+000;-1.440072707857106E+002;
5.400200100050025E+009;-1.591568544410447E+000;-1.532940881762627E+002;
5.404202101050526E+009;-1.673862177155272E+000;-1.621566539693120E+002;
5.408204102051025E+009;-1.785844352140968E+000;-1.715397207834555E+002;
5.412206103051526E+009;-1.851353960769854E+000;1.792312591051025E+002;
5.416208104052026E+009;-1.923716716419048E+000;1.696164671911578E+002;
5.420210105052527E+009;-2.001899980904693E+000;1.602975561277356E+002;
5.424212106053026E+009;-2.028470350049846E+000;1.503523487021658E+002;
5.428214107053527E+009;-2.060947794734418E+000;1.406998620962221E+002;
5.432216108054027E+009;-2.116451600916489E+000;1.305576395265257E+002;
5.436218109054527E+009;-2.055458671819948E+000;1.207917403822025E+002;
5.440220110055028E+009;-2.019791259057946E+000;1.110239987299303E+002;
5.444222111055528E+009;-2.005329300500383E+000;1.008999026035527E+002;
5.448224112056028E+009;-1.966411955464536E+000;9.110530862844426E+001;
5.452226113056528E+009;-1.922973925640170E+000;8.171184568541254E+001;
5.456228114057029E+009;-1.870826440993736E+000;7.200651732618550E+001;
5.460230115057529E+009;-1.799710778295550E+000;6.247686117352846E+001;
5.464232116058029E+009;-1.753899219767805E+000;5.323769892705165E+001;
5.468234117058529E+009;-1.706739149065073E+000;4.390649783766660E+001;
5.472236118059030E+009;-1.667542664589399E+000;3.490928460711765E+001;
5.476238119059530E+009;-1.655039329562292E+000;2.588447041107340E+001;
5.480240120060030E+009;-1.633635627361328E+000;1.713653626783966E+001;
5.484242121060531E+009;-1.655459358558107E+000;8.362049978248443E+000;
5.488244122061030E+009;-1.594304807570399E+000;-3.491699015854777E-001;
5.492246123061531E+009;-1.563093967965086E+000;-8.862498913968071E+000;
5.496248124062031E+009;-1.587775298796895E+000;-1.706489875462246E+001;
5.500250125062532E+009;-1.557894499389681E+000;-2.519589458951682E+001;
5.504252126063031E+009;-1.579592211381149E+000;-3.364807414256606E+001;
5.508254127063532E+009;-1.575379653317901E+000;-4.178550381081444E+001;
5.512256128064032E+009;-1.587069673769249E+000;-4.964314042434454E+001;
5.516258129064532E+009;-1.569216838936766E+000;-5.798383282618267E+001;
5.520260130065033E+009;-1.524004326015238E+000;-6.553028799131251E+001;
5.524262131065533E+009;-1.526276878414593E+000;-7.392193074282895E+001;
5.528264132066033E+009;-1.469775345937560E+000;-8.191546464224945E+001;
5.532266133066533E+009;-1.463958994457772E+000;-8.997805306626447E+001;
5.536268134067034E+009;-1.415348044655504E+000;-9.813215252854980E+001;
5.540270135067534E+009;-1.389692636210779E+000;-1.062961001665681E+002;
5.544272136068034E+009;-1.366739080906278E+000;-1.145301599511947E+002;
5.548274137068534E+009;-1.330608420801823E+000;-1.229869027401568E+002;
5.552276138069035E+009;-1.329542837554676E+000;-1.314296839739473E+002;
5.556278139069534E+009;-1.332131368296806E+000;-1.400733257585556E+002;
5.560280140070035E+009;-1.322284518547480E+000;-1.487592679426466E+002;
5.564282141070536E+009;-1.348557608254934E+000;-1.576206561106216E+002;
5.568284142071035E+009;-1.372468054415230E+000;-1.665374212152845E+002;
5.572286143071536E+009;-1.388266231600891E+000;-1.756283236434913E+002;
5.576288144072036E+009;-1.443403862558738E+000;1.750636839627998E+002;
5.580290145072537E+009;-1.520944141104220E+000;1.656506687038995E+002;
5.584292146073036E+009;-1.611133914544061E+000;1.560290128788859E+002;
5.588294147073537E+009;-1.692338054462593E+000;1.466090485490451E+002;
5.592296148074038E+009;-1.826396425840967E+000;1.368010184114758E+002;
5.596298149074537E+009;-1.886952926527014E+000;1.268459679858101E+002;
5.600300150075037E+009;-2.001286546802258E+000;1.169579920863653E+002;
5.604302151075538E+009;-2.050933308572937E+000;1.073169382495589E+002;
5.608304152076038E+009;-2.150231369807203E+000;9.716658800395339E+001;
5.612306153076538E+009;-2.165249492063526E+000;8.697820417984208E+001;
5.616308154077039E+009;-2.205620470740406E+000;7.706519610710012E+001;
5.620310155077539E+009;-2.220761728416998E+000;6.762727619819016E+001;
5.624312156078039E+009;-2.228612459058827E+000;5.771947545550056E+001;
5.628314157078539E+009;-2.210404226279466E+000;4.806471348091638E+001;
5.632316158079040E+009;-2.133570808327818E+000;3.879644527918656E+001;
5.636318159079540E+009;-2.104170927855147E+000;2.910036040318383E+001;
5.640320160080040E+009;-1.970570138687675E+000;2.031073048534955E+001;
5.644322161080541E+009;-1.873931214193571E+000;1.113405919492653E+001;
5.648324162081040E+009;-1.775603575957377E+000;2.373161617083575E+000;
5.652326163081541E+009;-1.651223545735607E+000;-6.212752188416471E+000;
5.656328164082041E+009;-1.587037387078069E+000;-1.476344654801391E+001;
5.660330165082542E+009;-1.464974043830335E+000;-2.310786509413680E+001;
5.664332166083041E+009;-1.394462439193648E+000;-3.131512397543114E+001;
5.668334167083542E+009;-1.296106461472555E+000;-3.965105189013720E+001;
5.672336168084042E+009;-1.251598314468767E+000;-4.766895653769751E+001;
5.676338169084542E+009;-1.155070186209256E+000;-5.555896827921196E+001;
5.680340170085043E+009;-1.163083452125400E+000;-6.347409796768383E+001;
5.684342171085543E+009;-1.143667433083288E+000;-7.157244829369503E+001;
5.688344172086043E+009;-1.134644904662963E+000;-7.951626919659121E+001;
5.692346173086543E+009;-1.154110546318968E+000;-8.739444166556467E+001;
5.696348174087044E+009;-1.164233202239195E+000;-9.532074845495821E+001;
5.700350175087544E+009;-1.203272693738192E+000;-1.034184516901579E+002;
5.704352176088044E+009;-1.230434286860179E+000;-1.117351264682002E+002;
5.708354177088544E+009;-1.284477395023577E+000;-1.199542707603121E+002;
5.712356178089045E+009;-1.339499046980540E+000;-1.280676875442641E+002;
5.716358179089544E+009;-1.472574871892334E+000;-1.366370509430453E+002;
5.720360180090045E+009;-1.538730490567411E+000;-1.453550446946956E+002;
5.724362181090546E+009;-1.588979049717670E+000;-1.540136417926489E+002;
5.728364182091045E+009;-1.650701568293722E+000;-1.632751687836158E+002;
5.732366183091546E+009;-1.755284583579202E+000;-1.723108556254817E+002;
5.736368184092046E+009;-1.811597641006827E+000;1.781107747505422E+002;
5.740370185092547E+009;-1.852388609046247E+000;1.687326938943134E+002;
5.744372186093046E+009;-1.872489531159578E+000;1.592274242069235E+002;
5.748374187093547E+009;-1.908071732622481E+000;1.494569425902506E+002;
5.752376188094048E+009;-1.924426823163797E+000;1.393276211382381E+002;
5.756378189094547E+009;-1.953975397098532E+000;1.294345966568328E+002;
5.760380190095047E+009;-1.952226628133104E+000;1.194033675937502E+002;
5.764382191095548E+009;-1.942553013764078E+000;1.094261103388687E+002;
5.768384192096048E+009;-1.956121195430132E+000;9.945747060260278E+001;
5.772386193096548E+009;-1.939007309185870E+000;8.954997559610872E+001;
5.776388194097049E+009;-1.925063716059363E+000;7.941048139620871E+001;
5.780390195097549E+009;-1.895751855833546E+000;6.981766138444449E+001;
5.784392196098049E+009;-1.902349961257042E+000;6.019804516906735E+001;
5.788394197098549E+009;-1.872112790786140E+000;5.067451791543179E+001;
5.792396198099050E+009;-1.862687426309734E+000;4.127041408392733E+001;
5.796398199099550E+009;-1.827009814906066E+000;3.195810595358455E+001;
5.800400200100050E+009;-1.822668025771104E+000;2.302855059467624E+001;
5.804402201100551E+009;-1.803043342304877E+000;1.397803391274930E+001;
5.808404202101050E+009;-1.798761234757599E+000;5.361289238080420E+000;
5.812406203101551E+009;-1.798566832051483E+000;-3.406152952962578E+000;
5.816408204102051E+009;-1.723030084561559E+000;-1.189463250024470E+001;
5.820410205102552E+009;-1.716508569274493E+000;-2.001880591899762E+001;
5.824412206103051E+009;-1.748373814682467E+000;-2.856446088652947E+001;
5.828414207103552E+009;-1.670069012913508E+000;-3.682019816532030E+001;
5.832416208104052E+009;-1.623051491199159E+000;-4.477274589775357E+001;
5.836418209104552E+009;-1.558869475511169E+000;-5.300245889412636E+001;
5.840420210105053E+009;-1.506935622363077E+000;-6.106822741352082E+001;
5.844422211105553E+009;-1.479496138557172E+000;-6.883595275079139E+001;
5.848424212106053E+009;-1.394134107493359E+000;-7.709465264186541E+001;
5.852426213106553E+009;-1.380899481811797E+000;-8.492985404984640E+001;
5.856428214107054E+009;-1.319958976845117E+000;-9.291949746638427E+001;
5.860430215107554E+009;-1.283048807124343E+000;-1.009888065532060E+002;
5.864432216108054E+009;-1.237390202874867E+000;-1.090081273971693E+002;
5.868434217108554E+009;-1.197758533369729E+000;-1.171178684657285E+002;
5.872436218109055E+009;-1.196803463706382E+000;-1.255190493886737E+002;
5.876438219109554E+009;-1.165577305989014E+000;-1.340260586659503E+002;
5.880440220110055E+009;-1.180208311120965E+000;-1.423131992375086E+002;
5.884442221110556E+009;-1.215376853885258E+000;-1.508025233073320E+002;
5.888444222111055E+009;-1.279779243105915E+000;-1.595832344684008E+002;
5.892446223111556E+009;-1.318220339953165E+000;-1.686441378040667E+002;
5.896448224112056E+009;-1.376546299250585E+000;-1.776070412944328E+002;
5.900450225112557E+009;-1.460928175284846E+000;1.732867887992694E+002;
5.904452226113056E+009;-1.533466438636663E+000;1.641258377746280E+002;
5.908454227113557E+009;-1.644011871900486E+000;1.545194116846492E+002;
5.912456228114058E+009;-1.768044304451514E+000;1.449378892318107E+002;
5.916458229114557E+009;-1.864263285172880E+000;1.351826853620823E+002;
5.920460230115058E+009;-1.957212793221971E+000;1.254017490901793E+002;
5.924462231115558E+009;-2.080429313980434E+000;1.153296483094715E+002;
5.928464232116058E+009;-2.176458995887527E+000;1.053226874774166E+002;
5.932466233116558E+009;-2.204335791283539E+000;9.508703850711220E+001;
5.936468234117059E+009;-2.228744564596661E+000;8.495577027037567E+001;
5.940470235117559E+009;-2.235147508075760E+000;7.468054188249064E+001;
5.944472236118059E+009;-2.232539745433756E+000;6.480022156713757E+001;
5.948474237118559E+009;-2.195149310850851E+000;5.474035224260257E+001;
5.952476238119060E+009;-2.161436997163126E+000;4.486467526546048E+001;
5.956478239119560E+009;-2.100669347831930E+000;3.536088797627772E+001;
5.960480240120060E+009;-2.020156031099031E+000;2.579896767804673E+001;
5.964482241120561E+009;-1.937619532751341E+000;1.634430350327160E+001;
