freq[Hz];re:Trc1_S21;im:Trc1_S21;
6.600000000000000E+009;3.561631986192927E-004;2.421558136120439E-003;
6.601000500250125E+009;4.627140367617418E-004;2.484742552042007E-003;
6.602001000500250E+009;5.026106852969490E-004;2.540703630074859E-003;
6.603001500750375E+009;5.617751367103534E-004;2.343758940696716E-003;
6.604002001000501E+009;7.124843463169465E-004;2.385874046012759E-003;
6.605002501250626E+009;7.291461873015601E-004;2.378500066697598E-003;
6.606003001500751E+009;9.511746553109914E-004;2.391619840636849E-003;
6.607003501750876E+009;1.017694613866235E-003;2.295267768204212E-003;
6.608004002001000E+009;1.144709090932454E-003;2.226547803729773E-003;
6.609004502251125E+009;1.297749664115114E-003;2.220609225332737E-003;
6.610005002501250E+009;1.321451194854127E-003;2.184235723689199E-003;
6.611005502751376E+009;1.310857229860223E-003;2.103324746713042E-003;
6.612006003001501E+009;1.480856653455032E-003;1.971002435311675E-003;
6.613006503251626E+009;1.530141459902386E-003;1.947137177921832E-003;
6.614007003501751E+009;1.520427393798841E-003;1.794743700884283E-003;
6.615007503751876E+009;1.497701078562514E-003;1.782901119440794E-003;
6.616008004002001E+009;1.696208752711834E-003;1.792448689229786E-003;
6.617008504252126E+009;1.790952896956374E-003;1.572771463543177E-003;
6.618009004502251E+009;1.804715668465664E-003;1.448429888114333E-003;
6.619009504752377E+009;1.778147123437000E-003;1.500764628872275E-003;
6.620010005002502E+009;1.880480838756810E-003;1.492462237365544E-003;
6.621010505252626E+009;1.978427555661659E-003;1.393902697600424E-003;
6.622011005502751E+009;2.006436816432077E-003;1.218549557961524E-003;
6.623011505752876E+009;2.147101743893913E-003;1.183266867883503E-003;
6.624012006003001E+009;2.009969176085829E-003;1.111393910832703E-003;
6.625012506253126E+009;1.907374715518110E-003;1.004178542643786E-003;
6.626013006503252E+009;2.165026355009794E-003;9.623828227631748E-004;
6.627013506753377E+009;2.197022352250171E-003;8.422371465712786E-004;
6.628014007003502E+009;2.127855720464787E-003;6.884604808874428E-004;
6.629014507253627E+009;2.198050763488598E-003;6.847144104540348E-004;
