freq[Hz];re:Trc1_S22;im:Trc1_S22;
6.600000000000000E+009;7.911437153816223E-001;2.302991571941177E-001;
6.601000500250125E+009;7.995115518569946E-001;1.993914974749966E-001;
6.602001000500250E+009;8.134306669235230E-001;1.771917101768854E-001;
6.603001500750375E+009;8.177161812782288E-001;1.475766722514655E-001;
6.604002001000501E+009;8.206168413162231E-001;1.210847020804998E-001;
6.605002501250626E+009;8.286454081535339E-001;9.544468434699062E-002;
6.606003001500751E+009;8.334787487983704E-001;6.923932318016901E-002;
6.607003501750876E+009;8.343809247016907E-001;4.249199895302309E-002;
6.608004002001000E+009;8.384178876876831E-001;1.493616387809270E-002;
6.609004502251125E+009;8.389676809310913E-001;-1.324476528912773E-002;
6.610005002501250E+009;8.414555788040161E-001;-3.910392543440888E-002;
6.611005502751376E+009;8.407273292541504E-001;-6.395710024357024E-002;
6.612006003001501E+009;8.363862633705139E-001;-8.988798084976231E-002;
6.613006503251626E+009;8.394537568092346E-001;-1.170067650233400E-001;
6.614007003501751E+009;8.323225975036621E-001;-1.412360488996785E-001;
6.615007503751876E+009;8.302183747291565E-001;-1.660168629285905E-001;
6.616008004002001E+009;8.275622725486755E-001;-1.932055303846239E-001;
6.617008504252126E+009;8.243187069892883E-001;-2.159377655066592E-001;
6.618009004502251E+009;8.158622980117798E-001;-2.379468902878538E-001;
6.619009504752377E+009;8.083013892173767E-001;-2.656354133268081E-001;
6.620010005002502E+009;8.001526594161987E-001;-2.880543495770520E-001;
6.621010505252626E+009;7.955213785171509E-001;-3.103221944537777E-001;
6.622011005502751E+009;7.865729928016663E-001;-3.345432407782956E-001;
6.623011505752876E+009;7.786998748779297E-001;-3.602796525751714E-001;
6.624012006003001E+009;7.676526904106140E-001;-3.784265736506566E-001;
6.625012506253126E+009;7.538474202156067E-001;-4.056424641927318E-001;
6.626013006503252E+009;7.464752197265625E-001;-4.273890485723281E-001;
6.627013506753377E+009;7.394298315048218E-001;-4.475612221208272E-001;
6.628014007003502E+009;7.274940013885498E-001;-4.668650927489342E-001;
6.629014507253627E+009;7.125118970870972E-001;-4.899966747997093E-001;
6.630015007503752E+009;6.983891725540161E-001;-5.099836922942849E-001;
6.631015507753877E+009;6.827951669692993E-001;-5.299144269937816E-001;
6.632016008004002E+009;6.713767647743225E-001;-5.467796995399731E-001;
6.633016508254128E+009;6.568635702133179E-001;-5.668448731766681E-001;
6.634017008504252E+009;6.457648873329163E-001;-5.829524661950898E-001;
6.635017508754377E+009;6.234824061393738E-001;-6.037252592023275E-001;
6.636018009004502E+009;6.083871126174927E-001;-6.236728482954843E-001;
6.637018509254627E+009;5.898248553276062E-001;-6.386607103851435E-001;
6.638019009504752E+009;5.695246458053589E-001;-6.550902309425395E-001;
6.639019509754877E+009;5.591359138488770E-001;-6.699936760420490E-001;
6.640020010005003E+009;5.379706621170044E-001;-6.864720539664839E-001;
6.641020510255128E+009;5.209677815437317E-001;-7.042830929815478E-001;
6.642021010505253E+009;5.003817677497864E-001;-7.172701677711169E-001;
6.643021510755378E+009;4.754486680030823E-001;-7.276852434961306E-001;
6.644022011005503E+009;4.592736959457398E-001;-7.442357050420011E-001;
6.645022511255628E+009;4.417879879474640E-001;-7.619761896054267E-001;
6.646023011505753E+009;4.158365726470947E-001;-7.693735476461300E-001;
6.647023511755878E+009;3.953378200531006E-001;-7.779508984179383E-001;
6.648024012006003E+009;3.726370930671692E-001;-7.907903302127287E-001;
6.649024512256128E+009;3.510377407073975E-001;-8.003539743077059E-001;
6.650025012506253E+009;3.259468972682953E-001;-8.140736282778827E-001;
6.651025512756378E+009;3.025760054588318E-001;-8.199999690425804E-001;
6.652026013006503E+009;2.816931307315826E-001;-8.272853144047678E-001;
6.653026513256628E+009;2.544861733913422E-001;-8.402432744533008E-001;
6.654027013506753E+009;2.307779192924500E-001;-8.431633782393877E-001;
6.655027513756879E+009;2.109942287206650E-001;-8.521219471011846E-001;
6.656028014007004E+009;1.824714541435242E-001;-8.543309230199588E-001;
6.657028514257129E+009;1.567617207765579E-001;-8.572026629959459E-001;
6.658029014507254E+009;1.331231743097305E-001;-8.661832895622958E-001;
6.659029514757379E+009;1.043651700019836E-001;-8.615542598216618E-001;
6.660030015007504E+009;7.442969828844070E-002;-8.687449970165406E-001;
6.661030515257628E+009;5.228093266487122E-002;-8.662151014582634E-001;
6.662031015507754E+009;2.592422813177109E-002;-8.691355742160427E-001;
6.663031515757879E+009;-2.257749438285828E-003;-8.698486229929198E-001;
6.664032016008004E+009;-2.944475971162319E-002;-8.686249027313820E-001;
6.665032516258129E+009;-5.360332876443863E-002;-8.696711437878201E-001;
6.666033016508254E+009;-8.208740502595902E-002;-8.665967191145336E-001;
6.667033516758379E+009;-1.124481186270714E-001;-8.685143550238524E-001;
6.668034017008504E+009;-1.379293799400330E-001;-8.609668595567420E-001;
6.669034517258629E+009;-1.670486330986023E-001;-8.513329310920358E-001;
6.670035017508755E+009;-1.928677260875702E-001;-8.452140796085412E-001;
6.671035517758880E+009;-2.182091623544693E-001;-8.413653305368894E-001;
6.672036018009005E+009;-2.486816495656967E-001;-8.292023189199890E-001;
6.673036518259130E+009;-2.708963453769684E-001;-8.249843888205738E-001;
6.674037018509255E+009;-3.026029765605927E-001;-8.083045501564748E-001;
6.675037518759379E+009;-3.296072483062744E-001;-8.043810861658975E-001;
6.676038019009504E+009;-3.554375767707825E-001;-7.874248817962144E-001;
6.677038519259630E+009;-3.876551687717438E-001;-7.777053397142483E-001;
6.678039019509755E+009;-4.124668538570404E-001;-7.569077718117231E-001;
6.679039519759880E+009;-4.370364248752594E-001;-7.406092582492470E-001;
6.680040020010005E+009;-4.606547653675079E-001;-7.236877910211957E-001;
6.681040520260130E+009;-4.909069240093231E-001;-7.029273047496072E-001;
6.682041020510255E+009;-5.168337225914002E-001;-6.875488770911962E-001;
6.683041520760380E+009;-5.381658077239990E-001;-6.616459555749841E-001;
6.684042021010506E+009;-5.576122403144836E-001;-6.395730050288956E-001;
6.685042521260631E+009;-5.804476141929627E-001;-6.206652161653670E-001;
6.686043021510756E+009;-6.001674532890320E-001;-5.917328360292756E-001;
6.687043521760881E+009;-6.247016787528992E-001;-5.702831256136158E-001;
6.688044022011005E+009;-6.491972804069519E-001;-5.441083518629551E-001;
6.689044522261130E+009;-6.663076877593994E-001;-5.100847266409341E-001;
6.690045022511255E+009;-6.898947954177856E-001;-4.840472304692516E-001;
6.691045522761381E+009;-7.061032056808472E-001;-4.545417125529739E-001;
6.692046023011506E+009;-7.216585278511047E-001;-4.229374815228046E-001;
6.693046523261631E+009;-7.388722896575928E-001;-3.887509776900467E-001;
6.694047023511756E+009;-7.559443712234497E-001;-3.587570832648701E-001;
6.695047523761881E+009;-7.627245187759399E-001;-3.219676900844903E-001;
6.696048024012006E+009;-7.718679308891296E-001;-2.856483974957067E-001;
6.697048524262131E+009;-7.859020829200745E-001;-2.525183040168764E-001;
6.698049024512256E+009;-7.953603267669678E-001;-2.138683524400308E-001;
6.699049524762382E+009;-8.027561902999878E-001;-1.745048708921788E-001;
6.700050025012507E+009;-8.039501309394836E-001;-1.376390831328390E-001;
6.701050525262631E+009;-8.102722167968750E-001;-9.845651051271932E-002;
6.702051025512756E+009;-8.112584352493286E-001;-5.962759958280377E-002;
6.703051525762881E+009;-8.140947818756104E-001;-2.286698708940058E-002;
6.704052026013006E+009;-8.080723285675049E-001;1.873863277100724E-002;
6.705052526263131E+009;-8.052055835723877E-001;6.291293351785826E-002;
6.706053026513257E+009;-7.971993088722229E-001;1.052523554490592E-001;
6.707053526763382E+009;-7.899743914604187E-001;1.432735652739651E-001;
6.708054027013507E+009;-7.810542583465576E-001;1.830591836332385E-001;
6.709054527263632E+009;-7.674168944358826E-001;2.210904588046096E-001;
6.710055027513757E+009;-7.533056735992432E-001;2.567444175507150E-001;
6.711055527763882E+009;-7.365643978118897E-001;3.025324482432114E-001;
6.712056028014007E+009;-7.143694162368774E-001;3.343937541574761E-001;
6.713056528264133E+009;-6.968055963516235E-001;3.756255942145003E-001;
6.714057028514257E+009;-6.714748144149780E-001;4.072482975864012E-001;
6.715057528764382E+009;-6.497491598129273E-001;4.444980663662870E-001;
6.716058029014507E+009;-6.238946914672852E-001;4.797898892178611E-001;
6.717058529264632E+009;-5.907762050628662E-001;5.119975727497940E-001;
6.718059029514757E+009;-5.645961761474609E-001;5.387959356133186E-001;
6.719059529764882E+009;-5.315132737159729E-001;5.756905225664318E-001;
6.720060030015008E+009;-4.966350495815277E-001;5.989094251296582E-001;
6.721060530265133E+009;-4.663410186767578E-001;6.258496375997087E-001;
6.722061030515258E+009;-4.262074232101440E-001;6.507457847406528E-001;
6.723061530765383E+009;-3.875586986541748E-001;6.702531844584705E-001;
6.724062031015508E+009;-3.521858453750610E-001;6.914797872241301E-001;
6.725062531265633E+009;-3.146634101867676E-001;7.072710272006810E-001;
6.726063031515758E+009;-2.739358246326447E-001;7.258754404695419E-001;
6.727063531765883E+009;-2.321829497814179E-001;7.389547031900456E-001;
6.728064032016008E+009;-1.892442107200623E-001;7.511181598642412E-001;
6.729064532266133E+009;-1.464467048645020E-001;7.583141478053600E-001;
6.730065032516258E+009;-1.066735312342644E-001;7.652930779090038E-001;
6.731065532766383E+009;-6.324195116758347E-002;7.701282846820453E-001;
6.732066033016508E+009;-2.413387782871723E-002;7.724935828004542E-001;
6.733066533266633E+009;1.736493036150932E-002;7.725350416524139E-001;
6.734067033516758E+009;6.175444275140762E-002;7.737833073037219E-001;
6.735067533766884E+009;1.037688851356506E-001;7.661826217384905E-001;
