freq[Hz];re:Trc1_S21;im:Trc1_S21;
5.000000000000000E+009;1.333801617020123E-004;-4.314684774726629E-004;
5.004002001000501E+009;8.735792058642652E-005;-2.916741650551558E-004;
5.008004002001000E+009;8.572393829214210E-005;-3.251833841204643E-004;
5.012006003001501E+009;1.356821461450629E-004;-3.343233547639102E-004;
5.016008004002001E+009;-6.536561921858397E-005;-2.954122319351882E-004;
5.020010005002502E+009;-1.844592288902451E-005;-3.301840624772012E-004;
5.024012006003001E+009;-1.118779919697619E-004;-3.721085668075830E-004;
5.028014007003502E+009;-1.082399788185652E-004;-2.883583074435592E-004;
5.032016008004002E+009;-2.274616304224995E-004;-3.537973389029503E-004;
5.036018009004502E+009;-2.408456386865982E-004;-2.565654285717756E-004;
5.040020010005003E+009;-2.566763393059937E-004;-2.393456234131008E-004;
5.044022011005503E+009;-4.247239567685380E-004;-2.121099969372153E-004;
5.048024012006003E+009;-4.031779703248935E-004;-1.840407785493881E-004;
5.052026013006503E+009;-4.791869505251009E-004;-4.507015546550974E-005;
5.056028014007004E+009;-5.635539060545155E-004;-2.071701237582602E-005;
5.060030015007504E+009;-4.022921645262159E-004;8.105957385851070E-005;
5.064032016008004E+009;-4.129425356211311E-004;1.921119837788865E-004;
5.068034017008504E+009;-3.913080209660988E-004;3.183633089065552E-004;
5.072036018009005E+009;-2.179853799469528E-004;2.509872429072857E-004;
5.076038019009504E+009;-2.367490852376371E-004;4.604340356308967E-004;
5.080040020010005E+009;-2.472626045335254E-004;4.464052617549896E-004;
5.084042021010506E+009;-7.644099207376279E-005;3.828831540886313E-004;
5.088044022011005E+009;-8.479561857147137E-007;3.918901493307203E-004;
5.092046023011506E+009;8.745656523988915E-005;4.377609002403915E-004;
5.096048024012006E+009;2.991107793877686E-004;4.332444223109633E-004;
5.100050025012507E+009;2.029146269956819E-004;4.588828014675528E-004;
5.104052026013006E+009;3.334241564718408E-004;3.226056287530810E-004;
5.108054027013507E+009;1.591718968708120E-004;2.610540832392871E-004;
5.112056028014007E+009;1.813630354366213E-004;2.298814943060279E-004;
5.116058029014507E+009;2.575607554082473E-004;2.577575214672834E-004;
5.120060030015008E+009;4.070974665766235E-004;2.767114201560617E-004;
5.124062031015508E+009;2.907336072233804E-004;2.359734207857400E-004;
5.128064032016008E+009;4.019937029292433E-004;1.607747399248183E-004;
5.132066033016508E+009;3.275546186297142E-004;5.684692951035686E-005;
5.136068034017009E+009;3.305394634419104E-004;1.174596127384575E-005;
5.140070035017509E+009;3.572035649089513E-004;-1.002514636638807E-006;
5.144072036018009E+009;4.070549212930460E-004;-7.564446423202753E-005;
5.148074037018509E+009;4.909398996455806E-004;-9.268936992157251E-005;
5.152076038019010E+009;4.892548563871168E-004;-2.533202932681888E-004;
5.156078039019509E+009;3.769064790337163E-004;-1.975487830350176E-004;
5.160080040020010E+009;4.628758709202739E-004;-3.578391624614596E-004;
5.164082041020511E+009;3.176111426353128E-004;-3.722319670487195E-004;
5.168084042021010E+009;2.403171307604803E-004;-3.504773776512593E-004;
5.172086043021511E+009;1.416407051445185E-004;-5.093674990348518E-004;
5.176088044022011E+009;9.632386739767999E-005;-3.312352928332984E-004;
5.180090045022512E+009;3.276727094049102E-005;-5.976096726953983E-004;
5.184092046023011E+009;-5.837117973233854E-005;-7.498666527681053E-004;
5.188094047023512E+009;-1.315812094856476E-004;-4.232016799505800E-004;
5.192096048024012E+009;-2.283154607815529E-004;-5.814748583361507E-004;
5.196098049024512E+009;-3.274093083914010E-004;-4.911146825179458E-004;
5.200100050025013E+009;-3.264424774263625E-004;-3.123272617813200E-004;
5.204102051025513E+009;-4.487780585648248E-004;-3.215936594642699E-004;
5.208104052026013E+009;-4.749983875643164E-004;-1.637569657759741E-004;
5.212106053026513E+009;-4.252583382046748E-004;-1.703738962532952E-005;
5.216108054027014E+009;-5.134277237612946E-004;-4.075411084158986E-007;
5.220110055027514E+009;-4.050397371244695E-004;6.178780313348398E-005;
5.224112056028014E+009;-3.910842377341129E-004;6.539952664752491E-006;
5.228114057028514E+009;-3.184416220626629E-004;1.625303266337141E-004;
5.232116058029015E+009;-4.252196724748909E-004;1.456602039979771E-004;
5.236118059029514E+009;-3.907592268381917E-004;2.425767452223226E-004;
5.240120060030015E+009;-3.819348236106136E-004;3.541402693372220E-004;
5.244122061030516E+009;-3.996037097906364E-004;3.105536452494562E-004;
